Name,Abbreviation,Semi,Description,Notes
gonion left,gol,No,"A point on the most lateral, posterior, and inferior part of the angle of the left side of the mandible.",This can be found by moving through the sagittal planes and observing the mandible. Place the landmark on the point of greatest curvature if possible.
gonion right,gor,No,"A point on the most lateral, posterior, and inferior part of the angle of the right side of the mandible.",This can be found by moving through the sagittal planes and observing the mandible. Place the landmark on the point of greatest curvature if possible.
condylion left,cdl,No,A point on the most lateral surface of the left mandibular condyle.,Locate it by first searching in the sagittal view along the mandible at a part where the teeth are visible and then scanning laterally until the condyle can be identified with certainty. Keep searching laterally until the condyle disappears from view and mark its location.
condylion right,cdr,No,A point on the most lateral surface of the right mandibular condyle.,Locate it by first searching in the sagittal view along the mandible at a part where the teeth are visible and then scanning laterally until the condyle can be identified with certainty. Keep searching laterally until the condyle disappears from view and mark its location.
canine left,cal,No,A centrally located point on the gingival margin of the lingual surface of the left-sided maxillary canine (C).,Defines the start landmark of the hard palate coronal canine semilandmarks.
canine right,car,No,A centrally located point on the gingival margin of the lingual surface of the right-sided maxillary canine (C).,Defines the end landmark of the hard palate coronal canine semilandmarks.
second premolar left,pml,No,A centrally located point on the gingival margin of the lingual surface of the left-sided maxillary second pre-molar (PM2).,Defines the start landmark of the hard palate coronal second pre-molar semilandmarks.
second premolar right,pmr,No,A centrally located point on the gingival margin of the lingual surface of the right-sided maxillary second pre-molar (PM2).,Defines the end landmark of the hard palate coronal second pre-molar semilandmarks.
endomolare left,eml,No,A centrally located point on the gingival margin of the lingual surface of the left second molar.,Defines the start landmark for the hard palate coronal M2 semilandmarks and the start landmark of the maxillary dental arch semilandmarks.
endomolare right,emr,No,A centrally located point on the gingival margin of the lingual surface of the right second molar.,Defines the end landmark for the hard palate coronal M2 semilandmarks and the end landmark of the maxillary dental arch semilandmarks.
corniculate tubercle,ct,No,A point on the posterior and superior-most surface of the corniculate tubercles in the midsagittal plane.,May not be visible. Defines the end landmark of the pharynx wall semilandmarks.
nasopharynx,np,No,A point on the posterior pharyngeal wall within the nasopharynx that intersects a line drawn between the atlas and nasal spine posterior landmarks.,Defines the start landmark of the pharynx wall semilandmarks.
epiglottis apex,epa,No,A point on the apex of the epiglottis in the midsagittal plane.,
epiglottis petiole,epp,No,A point on the petiole of the epiglottis in the midsagittal plane.,May not always be visible.
orbitale left,orl,No,The deepest point on the infraorbital margin. ,May not be visible if the anonymized area over the eyes is too large. Used to define the Frankfort Horizontal.
orbitale right,orr,No,The deepest point on the infraorbital margin. ,May not be visible if the anonymized area over the eyes is too large. Used to define the Frankfort Horizontal.
hard palate midsagittal,hpms,Yes,A curve formed from semilandmarks defined between hard palate posterior and hard palate anterior. Comprises 20 sample points. The individual semilandmark points are constrained to move only in the y-direction (axial freedom). The points are concentrated in the region of the alveolar ridge.,"Care must be taken to locate the thin mucosal covering of the hard palate which defines the contour that is traced with the semilandmarks. It can be helpful to look in parallel slices to see how the mucosa looks in relation to the tongue, which often is pressed against the hard palate."
hard palate coronal 2nd molar,hpc-m2,Yes,A curve formed from semilandmarks defined between endomolare left and endomolare right. Comprises 12 sample points. The individual semilandmark points are constrained to move only in the y-direction (axial freedom).,"Care must be taken to locate the thin mucosal covering of the hard palate which defines the contour that is traced with the semilandmarks. It can be helpful to look in parallel slices to see how the mucosa looks in relation to the tongue, which often is pressed against the hard palate."
hard palate coronal 2nd premolar,hpc-pm2,Yes,A curve formed from semilandmarks defined between second premolar left and second premolar right. Comprises 15 sample points. The individual semilandmark points are constrained to move only in the y-direction (axial freedom).,"Care must be taken to locate the thin mucosal covering of the hard palate which defines the contour that is traced with the semilandmarks. It can be helpful to look in parallel slices to see how the mucosa looks in relation to the tongue, which often is pressed against the hard palate."
hard palate coronal canine,hpc-c,Yes,A curve formed from semilandmarks defined between endomolare left and endomolare right. Comprises 15 sample points. The individual semilandmark points are constrained to move only in the y-direction (axial freedom).,"Care must be taken to locate the thin mucosal covering of the hard palate which defines the contour that is traced with the semilandmark. It can be helpful to look in parallel slices to see how the mucosa looks in relation to the tongue, which often is pressed against the hard palate."
maxillary dental arch,mda,Yes,A curve formed from semilandmarks defined between endomolare left and endomolare right. Comprises 15 sample points. The individual semilandmark points are constrained to move only in the y-direction (coronal freedom).,"Care must be taken to locate the thin mucosal covering of the hard palate which defines the contour that is traced with the semilandmark. It can be helpful to look in parallel slices to see how the mucosa looks in relation to the tongue, which often is pressed against the hard palate."
pharynx wall,pw,Yes,A curve formed from semilandmarks defined between corniculate tubercle and nasopharynx. Comprises 20 sample points. The individual semilandmark points are constrained to move only in the x-direction (coronal freedom).,
